A,W,MT,ID
16,2,513,3
16,2,460,3
16,2,463,3
16,2,520,3
16,2,458,3
32,2,488,4
32,2,463,4
32,2,524,4
32,2,604,4
32,2,495,4
32,4,525,3
32,4,497,3
32,4,494,3
32,4,482,3
32,4,474,3
16,1,543,4
16,1,553,4
16,1,557,4
16,1,544,4
16,1,538,4
64,2,530,5
64,2,553,5
64,2,513,5
64,2,610,5
64,2,537,5
16,4,510,2
16,4,527,2
16,4,489,2
16,4,0,2
16,4,649,2
32,1,608,5
32,1,557,5
32,1,555,5
32,1,528,5
32,1,512,5
64,4,568,4
64,4,500,4
64,4,551,4
64,4,493,4
64,4,568,4
64,1,646,6
64,1,542,6
64,1,593,6
64,1,578,6
64,1,593,6
